Date,In-game Date,Activity,Season,Weather,Luck,Time Spent (in minutes),Gold on Hand,Primary Activity Gold,Non-Activity Gold,Expenses,Pickaxe,Axe,Sword,Hoe,Scythe,Pan,Rod,Tackle,Farming Lvl.,Fishing Lvl.,Mining Lvl.,Foraging Lvl.,Fighting Lvl.
1/15/26,"Day 6, Year 1",Mining,Summer,Sunny,Annoyed/Mildly Perturbed,6:40:00,"3,421.00","1,620.00",0,0,Iron,Base,Steel Smallsword,Base,Base,None,None,None,1,0,6,1,3
1/15/26,"Day 7, Year 1",Mining,Summer,Sunny,Neutral,5:50:00,"5,041.00","1,175.00",0,0,Iron,Base,Steel Smallsword,Base,Base,None,None,None,1,0,6,1,3
1/15/26,"Day 8, Year 1",Mining,Summer,Sunny,Neutral,5:20:00,"6,216.00","2,335.00",0,500,Iron,Base,Steel Smallsword,Base,Base,None,None,None,1,0,6,1,3
1/15/26,"Day 9, Year 1",Mining,Summer,Sunny,Very Displeased,4:50:00,"8,051.00","1,440.00",0,0,Iron,Base,Steel Smallsword,Base,Base,None,None,None,1,0,6,1,4
1/15/26,"Day 10, Year 1",Mining,Summer,Sunny,Good Humor,0:00:00,"9,491.00","1,205.00",500,0,Iron,Base,Steel Smallsword,Base,Base,None,None,None,1,0,6,1,4
1/15/26,"Day 11, Year 1",Mining,Summer,Sunny,Annoyed/Mildly Perturbed,5:50:00,"11,196.00","4,035.00",0,0,Iron,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,1,4
1/15/26,"Day 12, Year 1",Mining,Summer,Thunderstorm,Very Displeased,0:00:00,"15,231.00","1,000.00",0,"10,000.00",Iron,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,1,4
1/15/26,"Day 13, Year 1",Mining,Summer,Thunderstorm,Neutral,0:00:00,"6,231.00",500,0,0,Iron,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,1,4
1/15/26,"Day 14, Year 1",Mining,Summer,Sunny,Neutral,0:00:00,"6,731.00",250,0,"2,000.00",Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,1,4
1/15/26,"Day 15, Year 1",Mining,Summer,Sunny,Good Humor,1:30:00,"4,981.00",0,0,100,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,1,4
1/15/26,"Day 16, Year 1",Mining,Summer,Sunny,Good Humor,2:20:00,"4,881.00",500,0,300,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,1,4
1/15/26,"Day 17, Year 1",Mining,Summer,Sunny,Very Happy,9:20:00,"5,081.00","3,045.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,1,4
1/15/26,"Day 18, Year 1",Mining,Summer,Sunny,Good Humor,5:30:00,"8,126.00","2,425.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,1,4
1/15/26,"Day 19, Year 1",Mining,Summer,Sunny,Neutral,0:00:00,"10,551.00","3,200.00",0,425,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,1,4
1/15/26,"Day 20, Year 1",Mining,Summer,Sunny,Neutral,7:50:00,"13,326.00","1,650.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,2,4
1/15/26,"Day 21, Year 1",Mining,Summer,Sunny,Neutral,6:30:00,"14,976.00","2,145.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,7,2,4
1/15/26,"Day 22, Year 1",Mining,Summer,Sunny,Good Humor,3:10:00,"17,121.00","2,575.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,4
1/15/26,"Day 23, Year 1",Mining,Summer,Green Rain,Unknown,0:00:00,"19,696.00",500,0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,4
1/15/26,"Day 24, Year 1",Mining,Summer,Thunderstorm,Neutral,1:50:00,"20,196.00","3,875.00",0,575,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,4
1/15/26,"Day 25, Year 1",Mining,Summer,Thunderstorm,Good Humor,3:00:00,"23,496.00","2,475.00",0,"1,500.00",Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,4
1/15/26,"Day 26, Year 1",Mining,Summer,Thunderstorm,Very Displeased,5:00:00,"24,471.00",210,0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,4
1/15/26,"Day 27, Year 1",Mining,Summer,Thunderstorm,Annoyed/Mildly Perturbed,0:00:00,"24,681.00",750,0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,5
1/15/26,"Day 28, Year 1",Mining,Summer,Sunny,Very Happy,4:40:00,"25,431.00","2,205.00",0,"1,900.00",Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,5
1/16/26,"Day 1, Year 1",Mining,Fall,Sunny,Very Happy,7:30:00,"25,736.00","2,705.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,5
1/16/26,"Day 2, Year 1",Mining,Fall,Cloudy,Neutral,5:20:00,"28,441.00","1,550.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,5
1/16/26,"Day 3, Year 1",Mining,Fall,Cloudy,Neutral,8:20:00,"29,991.00","3,070.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,5
1/16/26,"Day 4, Year 1",Mining,Fall,Sunny,Neutral,1:50:00,"33,061.00","1,000.00",0,"2,000.00",Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,5
1/16/26,"Day 5, Year 1",Mining,Fall,Sunny,Very Displeased,2:00:00,"32,061.00","3,275.00",0,350,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,5
1/16/26,"Day 6, Year 1",Mining,Fall,Cloudy,Very Happy,2:10:00,"34,986.00","1,275.00",0,"3,000.00",Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,5
1/16/26,"Day 7, Year 1",Mining,Fall,Cloudy,Very Happy,4:40:00,"33,261.00","2,175.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,8,2,5
1/16/26,"Day 8, Year 1",Mining,Fall,Cloudy,Good Humor,2:20:00,"35,436.00","3,185.00",0,"3,850.00",Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 9, Year 1",Mining,Fall,Sunny,Neutral,8:30:00,"34,771.00","3,205.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 10, Year 1",Mining,Fall,Sunny,Neutral,4:50:00,"37,976.00","5,005.00",0,400,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 11, Year 1",Mining,Fall,Cloudy,Annoyed/Mildly Perturbed,4:30:00,"42,581.00","2,370.00",0,"2,675.00",Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 12, Year 1",Mining,Fall,Cloudy,Very Happy,3:30:00,"42,276.00","2,725.00",0,0,Gold,Base,Steel Smallsword,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 13, Year 1",Mining,Fall,Cloudy,Neutral,6:00:00,"45,001.00","1,905.00",0,"1,800.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 14, Year 1",Mining,Fall,Cloudy,Annoyed/Mildly Perturbed,5:00:00,"45,106.00","2,410.00",0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 15, Year 1",Mining,Fall,Sunny,Good Humor,3:40:00,"47,516.00","2,560.00",0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 16, Year 1",Mining,Fall,Sunny,Very Happy,0:00:00,"50,076.00","1,250.00",0,"5,000.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 17, Year 1",Mining,Fall,Rainy,Very Displeased,1:30:00,"46,326.00",360,0,"40,200.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 18, Year 1",Mining,Fall,Sunny,Neutral,3:30:00,"6,486.00",925,0,"1,500.00",Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 19, Year 1",Mining,Fall,Thunderstorm,Annoyed/Mildly Perturbed,0:00:00,"5,911.00",120,0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 20, Year 1",Mining,Fall,Cloudy,Good Humor,5:00:00,"6,031.00",175,0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,9,2,6
1/16/26,"Day 21, Year 1",Mining,Fall,Cloudy,Very Happy,6:50:00,"6,206.00","1,250.00",0,0,Gold,Base,Obsidian Edge,Base,Base,None,None,None,1,0,9,2,6
